Title,Post date,Application Deadline,Issues,Institution(s),Other Organization(s),URL,Body,All terms
"Summer Research Fellowships, Sustainable Endowments Institute",Jan 14 2010 - 9:45am,"March 15, 2010",1/18/10,,,http://www.greenreportcard.org/get-involved/internships,"The Sustainable Endowments Institute is seeking highly motivated and reliable individuals for full-time summer research fellowships. Research Fellows will collaborate on surveying and analyzing sustainability initiatives at hundreds of colleges and universities in the United States and Canada to help produce the College Sustainability Report Card 2011. The fellowship positions will last approximately 12 weeks, starting in June 2010. Applications will be considered on a rolling basis.",Jobs & Internships
"Energy Manager, Meredith College",Jan 15 2010 - 2:44pm,"March 16, 2010",1/18/10,,,http://chronicle.com/jobs/0000622583-01,"Meredith College (NC) is seeking applicants for the energy manager position. The manager will monitor the energy use of the campus and assess and analyze the energy performance of each building through energy audits, reviewing the efficiency of electrical and mechanical systems, and developing energy management action plans in cooperation with the Facility Services Department, Sustainability Office, and the campus community. The manager will also seek to achieve energy savings, promote indoor air and environmental quality, and minimize the overall environmental impact of campus buildings and infrastructure. A bachelor's degree in a related technical, scientific or engineering discipline or equivalent is required, as is a minimum of three years experience in energy management, facility mechanical systems design, construction and/or maintenance.",Jobs & Internships
"Environmental Program Coordinator, U South Carolina",Jan 15 2010 - 2:49pm,"March 16, 2010",1/18/10,,,https://uscjobs.sc.edu/applicants/jsp/shared/frameset/Frameset.jsp?time=1263580978942,"The University of South Carolina is seeking applicants for the position of environmental program coordinator. The position is responsible for advancing and providing overall leadership for Sustainable Living for University Housing. Principal duties include environmental programs and analysis, conducting environmental conservation researches, grant development, promotion of conservation efforts, development of educational materials, and advisement for resident student organizations. The position will develop and implement educational and communication opportunities for audiences both on and off campus, to include student, faculty, staff, and community organizations. The position will also raise awareness of sustainability initiatives and accomplishments, and foster a culture of collaboration and sustainability. A bachelor's degree or a high school diploma with four years of program experience is required. The position is open until filled.",Jobs & Internships
"Dir, Alternative Energy & Power Technology Prgm, Palm Beach CC",Jan 15 2010 - 2:57pm,"March 16, 2010",1/18/10,,,https://employment.pbcc.edu/applicants/jsp/shared/frameset/Frameset.jsp?time=1263581256789,"Palm Beach Community College (FL) invites applications for the director of the alternative energy and power technology program. The position is responsible for the oversight and administration of the Alternative Energy and Power Technology programs. Duties will include, but are not limited to, developing and coordinating alternative and sustainable energy programs and courses, working with subject matter experts for the development of curriculum, scheduling courses, dealing with lab safety issues, taking inventory, planning equipment and facilities, managing textbooks and materials, and advising students. Additional responsibilities will include managing the departmental budget, identifying and supervising staff and instructors, and adhering to and monitoring program accreditation requirements. A master's degree in electrical engineering, a master's degree in engineering and 18 graduate semester hours in electrical engineering, or a master's degree in environmental sustainability with experience in higher education program development is required.  The position is open until filled.",Jobs & Internships
"Research Chair, Oil Sands Env Sustainability, Northern Alberta IT",Jan 15 2010 - 3:06pm,"March 16, 2010",1/18/10,,,http://chronicle.com/jobs/0000622142-01,"The Northern Alberta Institute of Technology is seeking applicants for an applied research chair in oil sands environmental sustainability. The position will provide scientific investigation and leadership in seeking solutions in oil sands operations, production, resource management, and conservation through the utilization of green chemistry and sustainable process technologies. The successful candidate will bring a strong record of achievement in applied research in the field and will have attained recognition for making a major impact in this field. Experience creating and directing research teams and excellent interpersonal and communication skills are needed to develop the role to its full potential. A doctoral degree in a relevant field or the equivalent in education and experience is required.",Jobs & Internships
"Senior Director, Initiatives for Sustainability, Arizona State U",Jan 21 2010 - 11:47am,"March 22, 2010",1/25/10,,,http://chronicle.com/jobs/0000623335-01,"Arizona State University is hiring for the position of senior director of strategic initiatives for sustainability. The position will secure significant gifts to support the University's broad based strategic initiative on sustainability. The director will work for the Arizona State University Foundation in a team-oriented environment, reporting to the Vice President of Foundation Relations and Strategic Initiatives. This individual must embrace complexity and ambiguity, and be able to work collegially and transparently in a matrix environment that includes multiple teams. A bachelor's degree and at least 10 years of fund-raising experience in higher education, research, or health sciences are required.",Jobs & Internships
"Professor, Environmental Studies, Cottey College",Jan 21 2010 - 11:52am,"March 22, 2010",1/25/10,,,http://chronicle.com/jobs/0000620044-01,Cottey College (MO) is seeking applicants for a tenure-track faculty member in the Environmental Studies Department. The successful candidate will have a doctorate degree and a minimum of three years teaching experience at a four-year liberal arts college with demonstrated excellence in college teaching. The person selected for this position will be instrumental in developing and leading a new baccalaureate program in environmental studies housed in the Cottey Institute for Women's Leadership and Social Responsibility. Applications are being accepted until the position is filled.,Jobs & Internships
"Sustainability Coordinator, Aramark at U Florida",Jan 21 2010 - 11:59am,"March 22, 2010",1/25/10,,,http://aramark.taleo.net/careersection/2/jobdetail.ftl?lang=en&job=679139&src=JB-11160,Aramark is accepting applications for the position of sustainability coordinator at the University of Florida. The coordinator will serve as both the internal and external educator/liaison for Aramark Higher Education at University of Florida Dining. S/he will work to establish and raise  awareness and its core value among all dining employees. Sh/e will also work to ensure that Aramark Higher Education's sustainability efforts are aligned with the University's efforts. The position requires a bachelor's degree and two to four years of relevant experience.,Jobs & Internships
"Faculty, Golisano Institute for Sustainability, Rochester IT",Jan 21 2010 - 12:06pm,"March 22, 2010",1/25/10,,,https://myinfo.rit.edu/OA_HTML/OA.jsp?page=/oracle/apps/irc/candidateSelfService/webui/VisVacDispPG&OAHP=IRC_EXT_SITE_VISITOR_APPL&OASF=IRC_VIS_VAC_DISPLAY&akRegionApplicationId=821&transactionid=1131525164&retainAM=N&addBreadCrumb=RP&p_svid=35814&p_spid=,"The Golisano Institute for Sustainability at the Rochester Institute of Technology (NY) invites applications to the tenure-track or tenured position of professor. The successful applicant will be a leading expert or demonstrate potential to be a leading expert in one or more of the following areas of expertise: sustainable production systems, sustainable energy systems, sustainable mobility, and/or Eco-IT (ecologically efficient information technology systems). Duties of the position will include sponsoring research, teaching exclusively at the graduate level, mentoring graduate students, and governing of novel curricula in the Sustainability Ph.D. and Sustainable Systems M.S. programs. Review of applications will begin February 16, 2010 and continue until the position is filled.",Jobs & Internships
"EcoHouse Program Coordinator, U Connecticut",Jan 21 2010 - 12:11pm,"March 22, 2010",1/25/10,,,http://livelearn.uconn.edu/jobs.php,"The University of Connecticut is seeking applicants for the position of EcoHouse program coordinator. The coordinator will coordinate day-to-day administrative activities and provide support for a dynamic program. S/he will assist with the planning and administration of the EcoHouse Learning Community, where undergraduate students with similar interests live together in a residence hall and participate in academic and service learning projects. Minimum qualifications include a bachelor’s degree in environmental science/studies, sustainability, or a related area and three to five years of related experience demonstrating considerable knowledge of administrative methods and functions.",Jobs & Internships
