Title,Post date,Issues,Institution(s),Other Organization(s),Story Date,URL,Body,All terms
SEED Center 'Campus as a Living Laboratory' Guide,Jan 8 2014 - 2:59pm,"January 14, 2014",American Association of Community Colleges,,"January 14, 2014",http://www.theseedcenter.org/Resources/SEED-Resources/SEED-Toolkits/Campus-as-a-Living-Lab,The recently published guide highlights eight essential elements to building effective living labs to revitalize college education.,New Resources
Virtual Sustainability Leadership Development Circle,Jan 8 2014 - 4:31pm,"January 14, 2014",,Spheres of Influence,"January 14, 2014",http://www.eventbrite.com/e/spheres-of-influence-virtual-leadership-development-circle-tickets-9640570205,"This Spheres of Influence monthly virtual dialogue will discuss best practices for strategic planning and stakeholder engagement, and the triple bottom line.",Opportunities
Institute for Emerging Sustainability Leaders: The Role of Women,Jan 9 2014 - 7:41pm,"January 28, 2014",West Chester University of Pennsylvania,Amazon Center for Environmental Education and Research,"January 14, 2014",http://www.wcupa.edu/aceer/workshops.asp,"The Amazon Center for Environmental Education and Research invites applications for a 13-day Institute for Emerging Sustainability Leaders in Peru, slated for June 1 to July 13, 2014. Themed ""The Role of Women in Sustainability,"" this experiential learning opportunity is open to students, educators and professionals in the field of education for sustainability, as well as individuals interested in developing a planetary perspective on the challenge of educating for sustainability.",Opportunities
Green Mountain College Announces Results of Alumni Survey,Jan 9 2014 - 8:10pm,"January 14, 2014",Green Mountain College,,"January 14, 2014",http://sustainability.greenmtn.edu/living_learning/beyond_classroom/student_activism.aspx,"As a baseline for measuring future progress, preliminary data from 12 questions on a 2012 class survey indicate that 43 percent of graduates spend more than 10 hours per week deliberately enhancing the social fabric of their communities and 72 percent report that their lives reflect the college's environmental mission.",Public Engagement
Oklahoma State U Creates Healthy Food Labeling System,Jan 13 2014 - 3:54pm,"January 14, 2014",Oklahoma State University,,"January 14, 2014",http://www.foodservicedirector.com/people/fsd-of-the-month/articles/terry-baker-healthy-attitude,"After receiving grant funds, the university's Dining Services program recently implemented the labeling system to indicate more healthful foods per U.S. Department of Agriculture guidelines. The system also labels more than 800 grab-and-go items with nutrition and allergen information.",Dining Services
U Kansas Researchers Devise Diversity Assessment Tool,Jan 21 2014 - 12:10am,"January 21, 2014",University of Kansas,,"January 14, 2014",http://www.rpajournal.com/dev/wp-content/uploads/2013/11/A1.pdf,"In an effort to measure diversity in higher education, the recently published paper discusses the researchers method to create the final instrument, ACES, which quantifies Attitude towards diversity, Career activities and professional norms, Environment conducive to diversity, and Social interactions with diverse groups.",Diversity & Inclusion
Bridgewater College Students to Use EV for Recycling Program,Jan 29 2014 - 3:25pm,"February 4, 2014",Bridgewater College,,"January 14, 2014",http://www.bridgewater.edu/news-and-media/releases/1497-bc-receives-enterprise-grant-to-support-recycling-program,"After a recent $2,500 grant from Enterprise Rent-A-Car's philanthropic arm, Enterprise Holdings Foundation, the college will soon have access to an electric-powered utility vehicle for its student-operated recycling program.",Transportation
Oklahoma State U Students Produce Recycling Video,Jan 22 2014 - 3:53pm,"January 28, 2014",Oklahoma State University,,"January 16, 2014",http://youtu.be/bhnUhy4nvbA,(U.S.) The new video features the school's lead basketball blocker in an entertaining video encouraging the campus community to recycle.,Waste
Sabah U Malaysia Opens Recycling Center,Jan 23 2014 - 3:56pm,"January 28, 2014",,Sabah University of Malaysia,"January 16, 2014",http://www.dailyexpress.com.my/news.cfm?NewsID=87979,"(Malaysia): In a strategic effort to make its campus more sustainable, the university's Environmental Management System will be trained to implement the recycling initiative, conduct an environmental audit, and organize the first regional conference on sustainability.",Waste
U California System Pledges to Reduce Water Usage,Jan 24 2014 - 2:45pm,"January 28, 2014","University of California, Office of the President",,"January 16, 2014",http://www.universityofcalifornia.edu/news/article/30584,"(U.S.): In light of some of the driest weather on record, the system president announced the goal of reducing per capita water use by 20 percent throughout the UC system by 2020.",Water
Obama Administration Hosts Affordability Summit,Jan 29 2014 - 2:25pm,"February 4, 2014",,,"January 16, 2014",http://www.insidehighered.com/news/2014/01/16/obama-administration-announces-new-college-commitments-and-funding-low-income,During the recent summit attended by top university and college administration officials more than 100 commitments were made to help low-income students attend and complete college.,Affordability & Access
Sonoma State U Appoints First Sustainability Director,Feb 3 2014 - 9:38pm,"February 4, 2014",Sonoma State University,,"January 16, 2014",http://www.sonoma.edu/newscenter/2014/01/paul-draper-named-first-director-of-sustainability-at-ssu.html,"In a recent press release, Paul Draper was named the university's first director of sustainability and will also chair the university's Sustainability Executive Committee.",Coordination & Planning
"San Diego State U Achieves LEED Platinum, Smoke-Free, LGBT Center",Jan 20 2014 - 2:51pm,"January 21, 2014",San Diego State University,,"January 17, 2014",http://newscenter.sdsu.edu/sdsu_newscenter/news.aspx?s=74686,"The university's recently completed LEED student union is designed with retail space, community areas, an outdoor courtyard and recreation areas. The lesbian, gay, bisexual and transgender resource service center recently opened its doors to offer student support and a sense of community.",Coordination & Planning
Oxford College Acquires Land for Organic Farm,Jan 24 2014 - 1:34pm,"January 28, 2014",,Oxford College,"January 17, 2014",http://news.emory.edu/stories/2014/01/er_spring_oxford_organic_farmer/campus.html,"(U.S.): After an alumni recently donated land, the college will now offer an organic farm to model sustainable farming techniques and for integration into the school's curriculum.",Co-Curricular Education & Student Organizing
U Massachusetts Amherst Receives $485K to Bolster Food System,Jan 24 2014 - 3:19pm,"January 28, 2014",University of Massachusetts Amherst,,"January 17, 2014",http://www.umass.edu/newsoffice/article/kendall-foundation-awards-485000-umass,"(U.S.): Seeking to transform the food landscape to a more sustainable one, the Kendall Foundation has recently awarded the university $485,000 over two years with an initial focus of cultivating new suppliers of environmentally sound produce and offering more free-range poultry and animal products in its newly remodeled dining hall.",Funding
U Southern Queensland to Construct Green Building,Jan 24 2014 - 11:32am,"January 28, 2014",University of Southern Queensland,,"January 20, 2014",http://www.qt.com.au/news/usq-shows-support-for-green-cause/2143741/,"(Australia): When completed the new building will contain electric car charging stations, a 40-bicycle facility with covered and secure storage, showers and lockers, rainwater collection and grey water system, and a management system for the lighting and electrical systems.",Buildings
Call for Proposals: AESS 2014 Conference,Jan 15 2014 - 2:07pm,"January 21, 2014",Pace University,,"January 21, 2014",http://www.aess.info/content.aspx?page_id=22&club_id=939971&module_id=148423,"The 2014 Association of Environmental Studies and Sciences Conference is currently accepting individual abstracts for paper and poster presentations, workshops and panels to its theme Welcome to Anthropocene: From Global Challenge to Planetary Stewardship. The theme is based on the theory that humans have become a global geophysical force capable of disrupting grand cycles. Submissions are due by Feb. 4.",Opportunities
AASHE Seeking STARS Technical Advisors,Jan 20 2014 - 12:30pm,"February 11, 2014 February 4, 2014 January 28, 2014 January 21, 2014",,AASHE,"January 21, 2014",https://stars.aashe.org/cfm/ta-app/,"AASHE seeks individuals with expertise related to campus sustainability to serve as STARS Technical Advisors. One to two technical advisors are sought for each of the following areas: research, air and climate, buildings, energy, purchasing, diversity and affordability, and health, wellbeing and work. Application deadline is Feb. 14.",Opportunities
AASCU Proposal to Maintain College Affordability,Jan 20 2014 - 11:54pm,"January 21, 2014",American Association of State Colleges and Universities,,"January 21, 2014",http://www.aascu.org/policy/publications/policy-matters/federalmatchingprogram.pdf,"The newly released proposition from the American Association of State Colleges and Universities proposes using existing federal resources to create a new federal matching grant program that leverages federal funds to incentivize states to boost operating support for public higher education, in turn mitigating tuition price increases and improving college affordability.",Affordability & Access
Call for Applications: Student Delegation to UN CSW,Jan 21 2014 - 12:00am,"January 21, 2014",,SustainUS,"January 21, 2014",http://sustainus.org/apply-csw58,SustainUS is now accepting applications to join the Agents of Change youth delegation to the 58th Commission on the Status of Women being held at the United Nations Headquarters in New York City. Application deadline is Jan. 26.,Opportunities
AASHE Member-Get-A-Member Business Challenge,Jan 21 2014 - 12:44am,"March 4, 2014 February 4, 2014 January 21, 2014",,AASHE,"January 21, 2014",http://www.aashe.org/promotion/member-get-a-member-2014,"We invite you to participate in our Member-get-a-Member Business Challenge! By getting another business to join the AASHE community, you are helping to grow the shared support of our sustainability community, will receive a $25 gift card to the AASHE 2014 bookstore (limited to the first 25 recruits), and an automatic entry for the grand prize drawing to win 50% off an AASHE exhibit booth at AASHE 2014 OR free registration and hotel to AASHE 2014 Conference & Expo in Portland, OR October 26-29, 2014.",Opportunities
Call for Proposals Due Feb. 28: AASHE 2014 Conference & Expo,Jan 21 2014 - 1:51am,"February 18, 2014 February 4, 2014 January 21, 2014",,AASHE,"January 21, 2014",https://www.conferenceabstracts.com/cfp2/login.asp?EventKey=KBBPCHVH,"AASHE 2014: Innovation for Sustainable Economies & Communities, taking place October 26-29 in Portland, OR will draw together a diverse group of campus representatives including faculty, sustainability officers, presidents and students. In one of the most innovative sustainable cities in North America, we will gather to examine how communities and higher education institutions can come together to create vibrant local economies to help guide the sustainability transformation, how higher education institutions are serving as a model for sustainability in the communities they are located, and campus and community partnerships that are creating innovative solutions to current environmental, social, and economic issues. The deadline for abstract submission is Feb. 28.",Opportunities
American U Increases Waste Reduction Through Partnership,Jan 27 2014 - 8:32pm,"January 28, 2014",American University,,"January 21, 2014",http://www.broadwayworld.com/bwwgeeks/article/American-University-Collaborates-on-Campus-with-Community-Recycling-and-Joins-The-Reuse-Movement-20140121,"(U.S.): Continuing to work toward its goal of zero waste by 2020, the university partnered with a for-profit clothing recycler to place collection bins for clothing, linens, shoes and accessories from the campus community.",Waste
EPA Awards $5M for Clean Water Projects,Jan 28 2014 - 6:59am,"February 4, 2014",U.S. Environmental Protection Agency,,"January 21, 2014",http://yosemite.epa.gov/opa/admpress.nsf/0/781F854EDDC34CF185257C67005C5EFB,"The U.S. Environmental Protection Agency awarded the five universities to evaluate innovative green infrastructure practices in urban areas, using Philadelphia, Pa. as the pilot area. These grants stem from a cooperative partnership between EPA and Philadelphia’s Green City, Clean Waters program that represents a broad, long-term investment in implementing green infrastructure stormwater management practices. The awardees include universities are Villanova University, Swarthmore College, Temple University, University of New Hampshire and University of Pennsylvania.",Funding
St. Thomas Aquinas College Signs ACUPCC,Feb 6 2014 - 6:41pm,"February 11, 2014",St. Thomas Aquinas College,,"January 21, 2014",https://sites.google.com/a/stac.edu/stacnews/home/stthomasaquinascollegecommitstocarbonneutrality/american-college-university-president-s-climate-commitment,"Citing sustainability and climate change as reasons for recently signing the American College and University Presidents' Climate Commitment, the college will offer forums to students and employees about the causes and moral dimensions of climate change, and the assess college's impact.",Climate
Second Nature Announces Climate Leader Finalists,Jan 27 2014 - 7:22pm,"January 28, 2014",Second Nature,ACUPCC,"January 22, 2014",http://www.secondnature.org/news/CLA-finalists-2014,"(U.S.): Second Nature and the American College & University Presidents' Climate Commitment (ACUPCC) have announced the finalists of the Fifth Annual Climate Leadership Awards, presented to ACUPCC signatory schools that demonstrate ""unparalleled campus innovation and climate leadership that helps transition society to a clean, just and sustainable future."" Second Nature is partnering with Planet Forward in a public voting competition featuring the finalists' climate leadership and campus innovations during Earth Month.",Climate
Virginia Tech to Install Nearly 100 Solar Trash Compactors,Feb 2 2014 - 9:19pm,"February 4, 2014",Virginia Tech,,"January 22, 2014",http://www.collegiatetimes.com/news/virginia_tech/article_f60fd0fc-83b9-11e3-901e-001a4bcf6878.html,"Making recycling more convenient for the campus community, the solar compactors are intended to increase recycling rates and reduce carbon emissions from maintenance staff.",Waste
U Georgia Students Receive $28K to Promote Sustainability,Feb 2 2014 - 9:29pm,"February 4, 2014","University of Georgia, The",,"January 22, 2014",http://www.redandblack.com/uganews/science_health/sustainability-grants-help-fund-student-projects/article_1d71e708-830f-11e3-8eae-001a4bcf6878.html,"The university's Office of Sustainability recently announced $28,000 to be used by nine student groups' projects that aim to promote a culture of campus sustainability. While biking was the most popularly submitted proposal, others included an on-campus garden and water quality testing.",Co-Curricular Education & Student Organizing
