Title,Post date,Issues,Institution(s),Other Organization(s),Story Date,URL,Body,All terms
Rowan U Students & Faculty Work to Green Pharmaceutical Companies,Jan 19 2010 - 4:21pm,1/25/10,,,"January 1, 2010",http://www.reliableplant.com/Read/8810/green-pharmaceutical-industry,"Students and faculty in Rowan University's (NJ) College of Engineering are working with pharmaceutical companies to help green their processes. Through EPA grants totaling over $200,000, the University is expanding its green engineering research to work with the pharmaceuticals to help them reduce waste and become more efficient. Current research focuses on minimizing the impacts of raw materials used in creating the products and reducing pollution.",Research
Yale U Installs Thin Film Solar System,Jan 13 2010 - 2:49pm,1/18/10,,,"January 1, 2010",http://www.yale.edu/sustainability/secondgenerationsolar.html,Yale University (CT) has installed a 22 kw thin film solar system on one of its dormitories.  Traditional solar cells are made from silicon and are usually flat-plated and bolted to the roof at a 45 degree angle. Second generation solar cells are called thin-film solar cells because they are made from amorphous silicon or non-silicon materials such as cadmium telluride. Yale will gather data over time and compare the new system's energy yield to conventional panels already in place on campus to better assess the technology’s fit for the campus. The brand new system is expected to provide roughly three to five percent of the building’s annual electricity consumption.,Energy
Campus Green Building Technical Assistance Grants,Jan 13 2010 - 5:11pm,1/18/10,,,"January 1, 2010",http://www.campusgreenbuilder.org/node/649,"As part of the Advancing Green Building in Higher Education Program, Second Nature will award 15 technical assistance grants of up to $2000 each to provide building professionals that work with under-resourced higher education institutions with green building training opportunities. Schools that have received Title III/V designation from the Department of Education and that are in states with relatively low numbers of green building projects are invited to apply.  The deadline for application is February 12, 2010.",Opportunities
New Book: Sustainability at Universities,Jan 14 2010 - 9:42am,1/18/10,,,"January 1, 2010",http://www.peterlang.com/Index.cfm?vID=59690&vLang=E,"The new book, Sustainability at Universities - Opportunities, Challenges, and Trends , produced as Volume 31 of the award-winning ""Environmental Education, Communication and Sustainability"" series on sustainable development, provides a concrete contribution towards the goal of fostering sustainability at universities, by especially focusing on opportunities, challenges, and trends. It contains a wide range of papers written by university lecturers, professors, students, and practitioners, as well as practical projects, which illustrate some of the latest trends and future perspectives related to sustainability in higher education. The book is meant to inform, inspire, and engage all members of the university community in the wide debate on how the principles of sustainable development may be implemented into practice.",New Resources
2010 Campus Sustainability Staffing Survey,Jan 21 2010 - 4:51pm,1/25/10 2/8/10,,,"January 1, 2010",http://www.aashe.org/sustainability.staffing.survey,"AASHE’s 2010 Campus Sustainability Staffing Survey is now in progress.  All paid sustainability staff on college and university campuses in the U.S. and Canada are encouraged to take 10 minutes to complete the survey.  This includes part-time or full-time employees with sustainability, or an aspect of it, as one of their primary responsibilities.  The survey closes on February 12, and aggregate results will be shared publicly (no individuals or institutions will be identified).  AASHE urges all eligible employees to take the survey and let others know about it. The results should provide the most complete and up-to-date picture yet of campus sustainability staff positions, backgrounds and salaries.",Opportunities
Survey on Campus Sustainability & Recruitment,Jan 22 2010 - 11:54am,1/25/10,,,"January 1, 2010",http://greencampus.questionpro.com/,A graduate student from Hawai'i Pacific University in the Global Leadership and Sustainable Development program invites members of the higher education community to complete a survey on the relationship between campus sustainability activities and student recruitment and retention.  The information in the survey will be used for a master's thesis.,Opportunities
Student Sustainability Film Festival,Jan 22 2010 - 12:05pm,1/25/10,,,"January 1, 2010",http://nwisc.com/programs/student_sustainability_film/,"The Northwest Institute for Social Change invites high school and college student from North America to submit entries to its ""Sharing Solutions: Student Sustainability Film Festival.""  The 2010 Festival encourages teams to create short films about programs or projects that their campus or community is doing to create sustainable solutions to environmental concerns. The films should be inspired by real-life events, issues or solutions. All final selections will be screened at a public event in Portland, Oregon in late May 2010 and prizes will be awarded that evening for the following categories: “Best in Show” (high school and college categories; cash prize); Individual Judge’s Acknowledgement; and Audience Favorite.  The deadline to submit is May 14, 2010.",Opportunities
Central College Receives $250K for 25KW Solar Array,Jan 28 2010 - 11:17am,2/1/10,,,"January 1, 2010",http://www.central.edu/news/story.cfm?ID=403,"Central College (IA) has received a $250,000 State Energy Program grant to assist the College with its technology demonstration category project to install a 25 kilowatt photovoltaic array, which will be located on top of the education and psychology building.  The array is expected to provide approximately four percent of the  building's energy needs.  Renewable energy information will be described on the building’s kiosk.",Energy
Norwalk CC to Offer Green Building & Technology Certificate,Jan 28 2010 - 11:33am,2/1/10,,,"January 1, 2010",http://www.ncc.commnet.edu/news.asp?97,"Norwalk Community College (CT) has announced plans to offer a new Building Efficiency and Sustainable Technology (BEST) Certificate program beginning with the Spring 2010 semester. The BEST Certificate Course curriculum is designed for displaced workers and job-changers, as well as those looking to expand their knowledge and skills to become employable in the green energy field. Certificate program courses will include: Building Technology, Blueprint Reading, Alternative and Renewable Energy, Composition, Introduction to Environmental Science, Building Efficiency Auditing, and Sustainable Energy for Residences, Businesses and Environmental Systems. The program is being funded by a $2 million grant from the U.S. Department of Labor that was given to Connecticut community colleges to prepare a green collar workforce.  Eight sustainable operation certificates will be created as a result of the grant.",Curriculum
Chance to Join SustainUS Youth Delegation to CSD-18,Jan 28 2010 - 11:42am,2/1/10,,,"January 1, 2010",http://sustainus.org/index.php?option=com_content&view=article&id=455:call-for-applications-un-commission-on-sustainable-development-csd-18&catid=118:aoc-csd,"Agents of Change (AoC) is now accepting applications to join the SustainUS youth delegation to the Eighteenth Session of the United Nations Commission on Sustainable Development (CSD-18), which will be held at the United Nations Headquarters in New York City from May 3 – 14, 2010. Selected delegates will have the opportunity to work with government officials, scientists, civil society representatives, and youth from around the world to review progress on issues related to sustainable development.  Applicants are required to be between the ages of 18 and 26 as of April 2010.  Applications are due February 6, 2010.",Opportunities
