Title,Post date,Date; time,Issues,Institution(s),Other Organization(s),URL,Body,All terms
Fairly Educated Conference,2011-05-11,"July 2-3, 2011",05/17/2011,,"Fairly Educated, University of Sydney",http://www.fairlyeducatedconference.com/,"Fairly Educated, a global movement to make universities fair trade, is hosting its first Fairly Educated Conference. Hosted by the University of Sydney, the two-day event will bring together university fair trade movements from around the world for a series of speeches, workshops, panel discussions and networking with some of the world leaders of fair trade university movements.",Events
8th International Convention on Environment and Development,2011-05-10,"July 4-8, 2011",05/17/2011,,Republic of Cuba's Environment Agency,http://www.cubambiente.com/,"Addressed to researchers, educators and other professionals involved in sustainability, the 8th International Convention on Environment and Development is designed to provide a fluid and comprehensive exchange of ideas and criteria about methodological, theoretical and practical aspects related to the environment and sustainable development. Themed “For the respect and rights of our Earth,” the conference will include symposia, roundtable discussions and special sessions in areas of climate change, environmental education, protected areas, ecosystem management and biodiversity, environmental land planning, as well as hazard, vulnerability and risk assessment. This conference is hosted by the Republic of Cuba's Environment Agency, together with other entities from the Ministry of Science, Technology and Environment. For information in English, email eventos@solways.com.",Events
8th Annual National Environmental Sustainability Summit,2011-04-20,"July 7-9, 2011",04/24/2011,,National Pollution Prevention Roundtable,http://environmentalsummit.org/index.php,"Co-hosted by the U.S. Environmental Protection Agency and the National Pollution Prevention Roundtable, this yearly gathering of environmental professionals promotes recent, useful and innovative approaches to environmental sustainability. National leaders from academia, nonprofits, government and business will gather to exchange ideas on the most effective environmental sustainability programs and practices. The workgroup and training sessions will cover a wide range of sustainability topics including energy efficiency, green chemistry, sustainability metrics, green workforce development and sustainable healthcare.",Events
AASHE Sustainability Officers Retreat,2011-04-22,"July 15-17, 2011",6/07/2011 05/24/2011 05/10/2011 04/24/2011,,,http://www.aashe.org/events/workshops/officersretreat,"Co-hosted by the Arbor Day Foundation at the Lied Lodge & Conference Center (outside Omaha, Neb.), this AASHE retreat will bring together 30 participants for an intensive two days of presentations, discussions, reflection and planning. The goal is to support the professional development of staff managing institutional transformation for sustainability in higher education. Space is limited, so register early (AASHE members can register at the member rate).",Events
STARS Webinar: 'STARS & Sustainable Purchasing',2011-07-6,"July 18, 2011; 2:00 p.m. Eastern",7/12/2011,,AASHE,https://www2.gotomeeting.com/register/253786778,"STARS recognizes institutions that are using their purchasing power to help build a sustainable economy. In addition to an overview of the STARS Purchasing subcategory, this webinar will include an overview of why sustainable purchasing is important; approaches to the STARS Purchasing credits, and perspectives on the implementation of sustainable purchasing.",Events
6th World Environmental Education Congress,2011-05-25,"July 19-23, 2011",05/31/2011,,Australian Association for Environmental Education,http://www.weec2011.org/Registration.aspx,"Hosted by the Australian Association for Environmental Education, this conference is targeted at all individuals and organizations with a stake in environmental and sustainability education who want to share learning and experiences with global experts and peers in Brisbane, Australia. With sessions and keynotes, the event will explore the science and impact of climate change and the youth perspective.",Events
'Why Reducing Waste is a No Brainer for Higher Ed' Webinar,2011-06-20,"July 19, 2011; 1:00 p.m. Eastern",7/12/2011,,,https://event.on24.com/eventRegistration/EventLobbyServlet?target=registration.jsp&eventid=320723&sessionid=1&key=5E72EB655DA9DE22525436C371B09F17&sourcepage=register,"Sponsored by Waste Management, ""Why Reducing Waste is a No Brainer for Higher Ed"" will look at the waste stream as a ""materials stream"" and discuss how to maximize the value (and diversion rates) while minimizing costs. Featuring Rutgers University's (NJ) Associate Director of Environmental Services David DeHart and Florida International University's Assistant Director of the Office of Sustainability Carrie Kashar, this webinar will also discuss best practices for handling the consumables (materials and resources) at universities, the importance of student engagement and the development of green teams to accelerate programs, and how data tracking and transparency aid in both student engagement and sustaining programs.",Events
Community Colleges Sustainability Web Conference,2011-07-7,"July 20, 2011; 1:00 p.m. Eastern",7/12/2011,,,https://jcccevents.webex.com/mw0306ld/mywebex/default.do;jsessionid=3vDRTWnDG1bMRFf5Qt6d2Hn2gD51nPSdcPft7cBjN78J0b4Qh7Y2!1475440410?nomenu=true&siteurl=jcccevents&service=6&rnd=0.06496697371705717&main_url=https%3A%2F%2Fjcccevents.webex.com%2Fec0605ld%2Fe,Jim Elder from the Campaign for Environmental Literacy will discuss the current state of sustainability issues on Capitol Hill and how community colleges can help drive policy in this monthly installment of the Community Colleges Sustainability Web Conference. General questions and answers will follow.,Events
Community Colleges Sustainability Web Conference,2011-07-15,"July 20, 2011; 1:00 p.m. Eastern",7/19/2011,Campaign for Environmental Literacy,,https://jcccevents.webex.com/jcccevents/onstage/g.php?d=668097177&t=a,Jim Elder from the Campaign for Environmental Literacy will discuss the current state of sustainability issues on Capitol Hill and how community colleges can help drive policy in this monthly installment of the Community Colleges Sustainability Web Conference. General questions and answers will follow.,Events
SCUP Annual Conference,2011-03-16,"July 23-27, 2011",6/21/2011 03/21/2011,,,http://www.scup.org/page/annualconf/46,"The Society for College and University Planning (SCUP) invites participants to its annual conference, ""Integrated Solutions."" The event will feature educational sessions and workshops. Concurrent sessions will include presentations related to campus sustainability including ""Going Beyond the Individual Building to Achieve Campus-Wide Sustainability,"" and a session that explores how the outcomes of the 2010 midterm elections might affect higher education in Congress.",Events
Academic Impressions Sustainability Investments Event,2011-06-1,"August 1-3, 2011",7/05/2011 6/07/2011,,,http://www.academicimpressions.com/events/event_listing.php?i=1140&q=8113v274891yT,"Sustainability leaders at all types of higher education institutions are invited to attend ""Prioritizing Sustainability Investments: An Institutional Road Map."" Hosted by Academic Impressions, this conference will explore the vital components of sustainability in higher education and invite attendees to create unique institutional road maps based on past achievements and prioritized next steps.",Events
'Using Real-Time Data to Improve Facilities Operations and Maintenance' Webinar,2011-07-20,"August 2, 2011; 3:00 - 4:00 p.m. Eastern",7/26/2011,Lucid,,https://www1.gotomeeting.com/register/395477961,"This Lucid Design Group webinar will discuss how to improve building operations through real-time monitoring and display. Featuring Hamilton College (NY) Director of Facilities Steve Ballona, the webinar will address what types of savings can be expected from improving building monitoring; how real-time data can be used to improve energy efficiency efforts; how to use real-time and feedback to improve occupant experience; and how occupant behavior change programs can impact building operations.",Events
National Sustainable Ag Education Association Conference,2011-04-29,"August 4-5, 2011",05/02/2011,,,http://sustainableaged.org/Portals/0/SAEA/2011%20Conference/SAEA%202011%20Conference%20Announcement.pdf,"Co-hosted by the University of Kentucky's Sustainable Agriculture program and the Virginia Tech Civic Agriculture and Food Systems program, the fourth annual installment of this conference is themed, ""Cultivating Sustainable Agriculture Education: Growing a Collaborative Legacy."" The event will focus on addressing the means of achieving sustainability in agriculture through educational experiences across the food system including schools, universities, farms and communities. The conference will offer field trips to Kentucky farms, service-learning activities, farm-to-table cooking opportunities, a pre-conference track for land grant university programs and loads of local food. Abstracts will be accepted through May 25, 2011.",Events
"Webinar: Adaptations to Protect the Nation's Food, Clean Water Supply",2011-07-21,"August 4, 2011; 1:15 - 2:45 p.m. Eastern",7/26/2011,,"AASHE, Security and Sustainability Forum",http://securityandsustainabilityforum.org/new/events/,"The second in a complimentary Adaptation and National Security monthly webinar series from the Security and Sustainability Forum, this webinar is designed to give managers and decision makers from academia, government and industry a better understanding of effective measures to adapt to the national security threats of a changing climate. In partnership with AASHE, ""Adaptations to Protect the Nation's Food and Clean Water Supply"" will address the threatened national security of many nations as heat stress, droughts and floods negatively affect crop yields and livestock, coupled with a growing global population and competition for clean water and consistent food sources.",Events
EPA Webinar: Converting Food Waste to Energy,2011-07-29,"August 17, 2011; 1:00 -2:00 p.m. Eastern",8/2/2011,Purdue University U.S. Environmental Protection Agency,,http://www.epa.gov/greenpower/events/17aug11_webinar.htm,"The U.S. Environmental Protection Agency's Green Power Partnership will host this webinar examining how food scraps can be diverted from landfills and used to generate renewable energy. Highlighting a partnership between Purdue University (IN) and the City of West LaFayette, Ind. where food scraps from the university's cafeteria are sent to the city to be used as an energy source, the webinar will review the environmental impacts associated with food waste disposal, the anaerobic digestion process, food waste collection programs, biogas usage for energy, available EPA resources and tools, and the opportunities and hurdles associated with expanding the anaerobic digestion of food scraps.",Events
Community College Webinar: Integrating Sustainability into General Education,2011-08-11,"August 17, 2011; 1:00 - 2:00 p.m. Eastern",8/16/2011,Chandler-Gilbert Community College Johnson County Community College Moraine Valley Community College,,https://jcccevents.webex.com/mw0306ld/mywebex/default.do;jsessionid=BSmCTGpfLbyfJkkNsBvJxpRmJ5hTjx00LkLPjMJ3vnntbJ5l8hn5!-1190541678?nomenu=true&siteurl=jcccevents&service=6&rnd=0.7664662487475444&main_url=https%3A%2F%2Fjcccevents.webex.com%2Fec0605ld%2Fe,Moraine Valley Community College (IL) and Chandler-Gilbert Community College (AZ) will share their efforts to integrate sustainability into their general education curriculum in the August installment of this webinar series. The Community College Sustainability Webinar series is hosted by Johnson County Community College (KS).,Events
STARS Webinar: STARS & Dining Services,2011-08-11,"August 23, 2011; 2:00 - 3:00 p.m. Eastern",8/16/2011,,AASHE,https://stars.aashe.org/pages/news-events/stars-webinars/2011-stars-webinars.html#dining_services,"This STARS webinar will give an overview of the STARS Dining Services subcategory, which recognizes institutions that are supporting a sustainable food system. Participants will gain the perspective of STARS Charter Participants that are working on the Dining Services credits, and will include an overview of why sustainability is an important component in Dining Services; approaches to the credits; and perspectives on implementing sustainability in campus Dining Services.",Events
Creating a Sustainable Campus Workshop Series,2011-09-1,"September 16, 2011; 9:00 a.m. - 2:30 p.m. Eastern",9/6/2011,Bronx Community College Ithaca College Kean University Ocean County College Ramapo College of New Jersey State University of New York College of Environmental Science and Forestry Sullivan County Community College,,http://ku4.eventbrite.com/,"Ocean County College (NJ) will kick off the first of a series of Creating a Sustainable Campus workshops presented by Kean University (NJ) and the New Jersey Higher Education Partnership for Sustainability. Through December, workshops will be held in New York and New Jersey as part of the U.S. Environmental Protection Agency's Pollution Prevention Program. Topics covered will include green design building guidelines, state and federal incentive programs, Clean Air-Cool Planet and other greenhouse gas (GHG) calculators, and highlights of what campuses throughout the region are doing to track and lower their GHG emissions including Sullivan County Community College (NY), Ithaca College (NY), State University of New York College of Environmental Science and Forestry, Bronx Community College (NY) and Ramapo College (NJ).",Events
Campus Planning with STARS Webinar,2011-09-7,"September 20, 2011; 2:00 - 3:00 p.m. Eastern",9/13/2011,,AASHE,https://stars.aashe.org/pages/news-events/stars-webinars/2011-stars-webinars.html#campus_planning,"Featuring the Society for College and University Planning's (SCUP) Terry Calhoun and others, this webinar will look at the importance of sustainability in campus planning. Perspectives on integrating sustainability into campus planning will be discussed as well as approaches to the STARS Coordination and Planning credits.",Events
EPA Climate Leadership Awards Information Webinar,2011-09-15,"Sept. 21, 2011; 1:00 p.m. Eastern",9/20/2011,U.S. Environmental Protection Agency,,http://www.epa.gov/climateleaders/awards/index.html,"This U.S. Environmental Protection Agency webinar will discuss the award criteria and nomination process and answer questions about the Climate Leadership Awards, established in partnership with the Climate Registry, Pew Center on Global Climate Change and Association of Climate Change Officers.",Events
CURC Game Day Waste Reduction Webinar,2011-08-30,"September 22, 2011; 1:30 - 3:00 p.m. Eastern",9/6/2011,,College & University Recycling Coalition,https://www1.gotomeeting.com/register/750646096,"The College & University Recycling Coalition (CURC) will look at waste reduction opportunities for highly attended sporting events during the free webinar, ""Game Day:  A Step Towards Sustainability in College Athletics."" The webinar will highlight successful waste minimization efforts in college athletics and provide the tools for launching similar programs where they don't yet exist. Participants will hear about the U.S. Environmental Protection Agency's Game Day Challenge, Arizona State University's commitment to materials management in athletic programs and Virginia Tech's new waste reduction toolkit, which provides a national overview of collegiate efforts to minimize the environmental impact of athletic events.",Events
NWF Campus Ecology Webinar: Students Talk Green Jobs,2011-09-7,"September 22, 2011; 2:00 - 3:30 p.m. Eastern",9/13/2011,National Wildlife Federation,,http://online.nwf.org/site/Calendar?id=104625&view=Detail,"As part of its Greener Campus Conference series, National Wildlife Federation's Campus Ecology program will host the Greenforce Initiative webinar, ""Student Perspectives - Green Jobs Education and Training and Perspectives from Current Students and Recent Graduates."" The series invites leading practitioners to speak on conservation and other sustainability topics, with a forum for questions and discussion. Each webinar features three to four speakers.",Events
Upper Midwest Association for Campus Sustainability Conference,2011-08-26,"September 23-24, 2011",8/30/2011,"University of Minnesota, Morris",,http://www.umacs.org/,"Registration is now open for the 2011 Upper Midwest Association for Campus Sustainability (UMACS) conference, “Creating Change Together.” Hosted by the University of Minnesota, Morris, the regional conference will provide an opportunity for networking, learning about best practices on campuses throughout the Midwest, and touring a carbon neutral campus. Keynote speakers include the National Wildlife Federation's Senior Director for Campus and Community Leadership Julian Keniry and Clean Up the River Environment Executive Director Patrick Moore. The conference also features concurrent sessions and posters highlighting successes from dozens of Midwest campuses.",Events
New England Student Food Co-op Convergence,2011-09-14,"September 23-25, 2011",9/20/2011,,,https://docs.google.com/spreadsheet/viewform?formkey=dFlhXzdiaVdfSWJCdlE1VjRtVkRWS3c6MA#gid=0,"Anyone affiliated with a university or college within the New England region who is interested in food justice, food sustainability or food sovereignty is invited to attend this gathering. The event will be organized in two tracks; one for organizing and starting projects and one for operating established projects. Participants will develop business and accounting skills, gain tools to help effectively recruit and organize students, learn more about the food system and cooperative movement, and collaborate with others in the region.",Events
SEED Center Webinar: Workforce Development,2011-09-8,"September 23, 2011; 1:00 - 2:00 p.m. Eastern",9/13/2011,American Association of Community Colleges,,http://www.theseedcenterwebinars.net/view/5001123673869198160/info,"The American Association of Community Colleges' SEED Center and the National Council for Continuing Education and Training are hosting this free webinar, ""Building Quality Workforce Development Programs for Real Energy Efficiency Jobs."" Participants will hear what newly developed U.S. Department of Energy standards and guidelines for the home energy retrofit and weatherization workforce mean for college programs and learn how to take advantage of a national assessment opportunity. Lane Community College (OR) will be highlighted as a national model for comprehensive energy education and its ability to prepare students for real jobs.",Events
EnergySMART Conference 2011,2011-05-25,"September 27-29, 2011",05/31/2011,,EnerNOC,http://www.energysmartconference2011.com/,"Energy management solutions company EnerNOC will host this year's EnergySMART conference. Including a panel discussion titled ""Total Energy Management in Education"" targeted at institutions and large school districts, this conference will join hundreds of energy decision makers to tackle the pressing energy challenges of institutions and industrial and commercial organizations.",Events
2011 Australasian Campuses Towards Sustainability Conference,2011-08-16,"September 28-30, 2011",August 2011 Global Edition,,University of Adelaide,http://www.acts.asn.au/index.php/annual-conference/,"Hosted by the University of Adelaide, this year's Australasian Campuses Towards Sustainability Conference will tackle the challenge of building the case toward sustainable change on campuses. Through sessions, roundtables and speakers including Australian Youth Climate Coalition National Director Ellen Sandell, the conference will explore how sustainability fits into core business and provide tools and techniques to enable the required change.",Events
Community College Webinar: Instant Benchmarking,2011-09-8,"September 28, 2011; 1:00 - 2:00 p.m. Eastern",9/13/2011,Johnson County Community College,,http://blogs.jccc.edu/sustainability/events/webinars/,"With the aim of promoting a more interactive set of discussions, the September installment of the Community College Sustainability Webinar series will strive to get a sense of how community colleges across the nation are working toward sustainability. Colleges are encourage to submit specific questions and topics in an effort to gather data on sustainability initiatives including green fees, transportation, continuing education and more. This series is hosted by Johnson County Community College (KS).",Events
Webinar: Adaptations to Protect Infrastructure from a Changing Climate,2011-09-7,"September 28, 2011; 2:00 - 3:30 p.m.",9/27/2011 9/13/2011,,"AASHE, Security and Sustainability Forum",http://securityandsustainabilityforum.org/new/events/,"The third in a complimentary Adaptation and National Security monthly webinar series from the Security and Sustainability Forum, this webinar is designed to give managers and decision makers from academia, government and industry a better understanding of effective measures to adapt to the national security threats of a changing climate. In partnership with AASHE, ""Infrastructure Adaptations to Address Security Threats from a Changing Climate"" will examine the changing conditions from climate impacts and their implications for basic infrastructure. Moderated by Former Deputy Secretary of the Interior Lynn Scarlett, the event will include strategies to understand and address these issues.",Events
Mid-Atlantic Student Food Co-op Convergence,2011-09-14,"September 30 - October 2, 2011",9/20/2011,,,https://docs.google.com/a/cofed.org/spreadsheet/viewform?formkey=dENfc2lZQ25xSHBHUl9kc2hqRnJXTkE6MQ,"Anyone affiliated with a university or college within the Mid-Atlantic region who is interested in food justice, food sustainability or food sovereignty is invited to attend this gathering. The event will be organized in two tracks; one for organizing and starting projects and one for operating established projects. Participants will develop business and accounting skills, gain tools to help effectively recruit and organize students, learn more about the food system and cooperative movement, and collaborate with others in the region.",Events
Greenbuild 2011 Conference & Expo,2011-06-7,"October 4-7, 2011",6/14/2011,,,http://www.greenbuildexpo.org/Home.aspx,"Registration is open for the U.S. Green Building Council's 2011 Greenbuild International Conference & Expo. This year’s event will include LEED workshops, green building tours, concurrent educational sessions and sector-specific summits including Green Jobs and Affordable Housing. Most sessions will be approved for continuing education credits for LEED and other professional credentials.",Events
Greenbuild 2011 Conference & Expo,2011-09-7,"October 4-7, 2011",9/13/2011,U.S. Green Building Council,,http://www.greenbuildexpo.org/Home.aspx,"Registration is open for the U.S. Green Building Council's 2011 Greenbuild International Conference & Expo. This year's event will include LEED workshops, green building tours, concurrent educational sessions and sector-specific summits including Green Jobs and Affordable Housing. Most sessions will be approved for continuing education credits for LEED and other professional credentials.",Events
AASHE 2011 Conference,2011-03-2,"October 9-12, 2011",March 2011 (Global Edition),,,http://conf2011.aashe.org/,"""AASHE 2011: Creating Sustainable Campuses and Communities"" will take place at the D. L. Lawrence Convention Center in Pittsburgh, Pa. The conference will add another day to the schedule, allowing for greater networking opportunities and more in-depth concurrent sessions. To receive emails when the conference registration opens, or to submit your interest in reviewing abstracts for this year’s conference, sign up for AASHE conference notifications.",Events
"AASHE 2011 Early Bird Registration Deadline, Keynotes Announced",2011-06-28,"October 9-12, 2011",6/28/2011,,AASHE,http://conf2011.aashe.org/,"Early bird registration for non-presenters ends this Thursday, June 30 for ""AASHE 2011: Creating Sustainable Campuses and Communities."" AASHE welcomes Dr. Wangari Maathai, Nobel Peace Laureate as the conference's opening keynote speaker and Bill McKibben, author and founder of 350.org, as the AASHE Student Summit keynote speaker. See other additions in the conference program overview.",Events
AASHE 2011 Conference,2011-08-16,"October 9-12, 2011",August 2011 Global Edition,,AASHE,http://conf2011.aashe.org/,"Registration is currently open for ""AASHE 2011: Creating Sustainable Campuses and Communities,"" which will take place at the D. L. Lawrence Convention Center in Pittsburgh, Pa. The conference will add another day to the schedule, allowing for greater networking opportunities and more in-depth concurrent sessions. AASHE welcomes Dr. Wangari Maathai, Nobel Peace Laureate, as the conference's opening keynote speaker and Bill McKibben, author and founder of 350.org, as the AASHE Student Summit keynote speaker. See other additions in the conference program overview.",Events
AASHE 2011 Conference,2011-09-15,"October 9-12, 2011",10/4/2011 9/27/2011 9/20/2011,,AASHE,http://www.cvent.com/events/aashe-conference-expo-2011/event-summary-cc5eca60e5df4750944bc5106b019d34.aspx,"""AASHE 2011: Creating Sustainable Campuses and Communities"" will feature more than 500 peer-to-peer sessions, AASHE Expo and poster receptions, the inaugural AASHE Community Service Project, interactive art exhibits, Pedal-a-Watt bike charging stations, a student-built electric car and a plethora of networking opportunities. Registration closes today.",Events
Campus Conservation Nationals Organizing Workshop,2011-09-30,"October 11, 2011; 8:00 - 9:00 a.m. Eastern",10/4/2011,Lucid,,http://www.centerforgreenschools.org/Libraries/Resources_Documents/Campus_Conservation_Nationals_-_Official_Press_Release_Sept_29_2011_1.sflb.ashx,"Together with the U.S. Green Building Council, National Wildlife Federation and Alliance to Save Energy, the Campus Conservation Nationals organizing team will be on hand in a workshop at the AASHE 2011 conference to discuss the 2012 competition. Students and staff organizers who are interested in participating in the competition can attend the workshop to discuss competition best practices and structure, and how to launch the program on campus.",Events
North American Association for Environmental Education Conference,2011-05-23,"October 12-15, 2011",05/24/2011,,North American Association for Environmental Education,http://www.naaee.net/conference,"Registration will open on June 1 for the 40th Anniversary Conference of the North American Association for Environmental Education. Themed ""Rooted in Time; Branching to the Future,"" the conference will feature research symposiums, field experiences, workshops, plenary panels and keynotes including ""Capacity Building for Conservation: Sea Turtle Politics, Economics and Education.""",Events
CURC Market Assessment Webinar,2011-10-5,"Oct. 13, 2011; 1:00 p.m. Eastern",10/11/2011,,College & University Recycling Coalition,http://curc3r.org/curc-webinars/curc-webinars-2,"The College and University Recycling Coalition (CURC) will explore the world of recyclable commodities during the free webinar, ""Market Assessment: Short- & Long-term Trends."" Industry experts will provide an insider's perspective on packaging design, consumer trends and geopolitical forces shaping the future of our markets.",Events
2011 Bioneers Conference,2011-07-21,"October 14-16, 2011",9/20/2011 8/30/2011 8/2/2011 7/26/2011,Bioneers,,http://www.bioneers.org/conference,"The 22nd Annual Bioneers Conference will focus on ""Reimagining Civilization in the Age of Nature."" In addition to AASHE member discounts, Bioneers is offering a limited number of partial scholarships for professors and students to attend the conference for $85 per day. The scholarships are offered on a first-come basis until October 1.",Events
Seeding the Future: The Role of College Farms and Gardens,2011-07-21,"October 14-15, 2011",7/26/2011,Dickinson College,,http://blogs.dickinson.edu/seedingthefuture/,"Hosted by Dickinson College, ""Seeding the Future: A Conference on the Role of College Farms and Gardens in Liberal Arts Higher Education"" will focus on beginning, improving and utilizing farms and gardens in undergraduate liberal arts education. From creating compost to developing new courses, hands-on workshops, presentations and panels will explore how to cultivate opportunities for local, sustainable food integration across the curriculum, campus and community. The conference will be organized around four tracks including the logistics of college farm and garden operations, teaching and learning on the farm and in the garden, starting and sustaining programs on campus, and connecting community partnerships.",Events
ACUPCC Webinar: Preparing Students for Tomorrow's Jobs,2011-10-5,"Oct. 17, 2011; 2:00 p.m. Eastern",10/11/2011,"Johnson Controls, Inc Milwaukee Area Technical College Second Nature",,https://www1.gotomeeting.com/register/799003753,"During this American College & University Presidents' Climate Commitment (ACUPCC) webinar, ""Reducing Carbon, Minimizing Cost and Preparing Students for Tomorrow's Jobs,"" panelists from Johnson Controls, Inc. and Milwaukee Area Technical College (WI) will look at the college's efforts to pioneer green technology initiatives. These efforts have resulted in annual energy and operational savings of more than $1.2 million, reduced carbon emissions by more than 8,355 metric tons and provided improvements in curriculum development.",Events
STARS Webinar: A Review of STARS at AASHE 2011,2011-10-5,"Oct. 18, 2011; 2:00 p.m. Eastern",10/11/2011,,AASHE,https://stars.aashe.org/pages/news-events/stars-webinars/2011-stars-webinars.html#conference,"This STARS webinar will review the STARS sessions that took place at the AASHE 2011 conference including the STARS Introductory & Advanced Workshops, ""STARS 101"" and the STARS Town Hall meeting. STARS staff will follow-up on the conversations and feedback stimulated by the conference.",Events
International Greening Education Event 2011,2011-08-16,"October 19-21, 2011",8/23/2011 August 2011 Global Edition,,Etech Education for Sustainability,http://www.etechgermany.com/IGEE2011.pdf,"Etech Education for Sustainability will host this three-day event that will discuss the integration of sustainability across all academic disciplines. Specifically, the conference will look at climate change and environmental degradation; the critical role of educational institutions in the wake of current and emerging challenges posed by environmental disasters and economic crisis; how educational institutions can reduce their own impact on the environment; embedding sustainability in education programs and making education relevant to today's and tomorrow's challenges, crisis and opportunities; greening human capital for a sustainable economy; a business case for educational institutions to go green; and preparing for the new green economy.",Events
Symposium for Christian Campus Sustainability,2011-09-1,"October 19-21, 2011",9/6/2011,,Center for Environmental Leadership,http://center4eleadership.org/sustainability-project.php,"Sustainability coordinators, staff, faculty and administrators actively engaged in campus sustainability efforts at Christian colleges and universities are invited to attend the Center for Environmental Leadership's symposium for sustainability workers. By gathering sustainability leaders from Christian institutions, the symposium will explore common issues, concerns, needs and solutions to develop a long-term strategy for strengthening the community of leaders and their sustainability work.",Events
Renewal Summit 2011,2011-09-22,"October 20-23, 2011",9/27/2011,Renewal: Students Caring for Creation,,http://renewingcreation.org/summit/about,"Featuring workshops including ""What Every College Student Should Know About Living Sustainably"" and ""Starting a Campus Garden,"" the Renewal Summit is geared toward Christian students nationwide who are interested in or working toward sustainability on their campuses. Hosted by Renewal: Students Caring for Creation, participants will receive training in campus organizing and environmental issues, and have a chance to connect with other students and share experiences. Registration is $50 including food and lodging for current college and university students.",Events
NWF Campus Ecology Webinar: Green Credentials,2011-09-7,"Oct. 20, 2011; 2:00 - 3:30 p.m.",10/18/2011,National Wildlife Federation,,http://online.nwf.org/site/Calendar?id=104623&view=Detail,"As part of its Greener Campus Conference series, National Wildlife Federation's Campus Ecology will host the Greenforce Initiative webinar, ""Green Credentials - Examining diverse certifications and other credentials and their role in facilitating green career pathways for lower-skilled adults and others."" The series invites leading practitioners to speak on conservation and other sustainability topics, with a forum for questions and discussion. Each webinar features three to four speakers.",Events
Campus Sustainability Day,2011-09-8,"Oct. 26, 2011",10/25/2011 10/18/2011 10/4/2011 9/13/2011,National Wildlife Federation Second Nature U.S. Green Building Council,"AASHE, HEASC",http://www.aashe.org/campus-sustainability-day,"The ninth annual Campus Sustainability Day (CSD) happens tomorrow. The event asks colleges and universities to commit to maintaining the momentum of higher education sustainability by connecting new campus groups and allies, highlighting student stories and reaching out to partners who can help them move towards success. Campus sustainability leaders are encouraged to plan their own events, programs and initiatives and post them to the CSD Events Listing. Second Nature will host a webcast and collective conversation that will explore the role of sustainability programs in campus admissions and student retention. CSD is supported by AASHE, the Higher Education Associations Sustainability Consortium (HEASC), Second Nature, U.S. Green Building Council and National Wildlife Federation's Campus Ecology program.",Events
2011 EAUC Scotland Higher Education Sustainability Conference,2011-08-16,"October 31 - November 1, 2011",8/23/2011 August 2011 Global Edition,Environmental Association for Universities & Colleges,,http://www.eauc.org.uk/2011_scotland_conference,"With speakers including AASHE Executive Director Paul Rowland and Illinois Green Economy Network Executive Director Leith Sharp, the Environmental Association for Universities and Colleges' (EAUC) 2011 Scotland Conference will focus on higher education and engagement. Hosted by Universities and Colleges Climate Commitment for Scotland, the conference will feature the professional development event, ""Embedding Sustainability into Graduate Attributes and the Student Experience,"" and workshops including ""The Nine Elements of a Sustainable Campus"" and ""Engaging for Change: The Key to Success.""",Events
ACUPCC Northeast Regional Symposium,2011-08-31,"Nov. 3-4, 2011",10/11/2011 9/6/2011,Second Nature,,http://www2.presidentsclimatecommitment.org/regional-symposium/,"Hosted by Bunker Hill Community College, this ACUPCC Regional Collaborative Symposium will focus on challenges and opportunities in the Northeast. The event aims to help all institutions in the region learn more about innovative sustainability initiatives happening on other campuses and foster peer networks to share ideas and collaborate on solutions for reducing greenhouse gas emissions, producing sustainability-literate graduates and engaging effectively with the local community.",Events
5th Annual Int'l Conference on Business & Sustainability,2011-09-2,"November 3-4, 2011",9/6/2011,Portland State University,,http://www.sba.pdx.edu/sustainabilityconference11/,"In its fifth year, Portland State University's (OR) Center for Global Leadership in Sustainability conference will bring together sustainable economy thought leaders and educators. Several panels of instructors with experience teaching sustainability in business schools will provide guidance and materials relevant to their disciplines. These panels will provide educators interested in teaching sustainability with tools and techniques for building sustainability issues into their classes.",Events
Beyond Sustainability Conference,2011-09-14,"November 3-4, 2011",9/20/2011,Hillsborough Community College,,http://hccfl.edu/departments/ifs/conference.aspx,"Educators, researchers, administrators and community members are encouraged to attend the Beyond Sustainability Conference sponsored by Hillsborough Community College (FL). The event will provide networking and learning opportunities through general and concurrent sessions designed to create an open dialogue and weave common ideas for creating an action plan for ecosystems, education and economic sustainability.",Events
"Campus Demand Response, Energy Efficiency Webinar",2011-10-20,"Nov. 3, 2011; 12:00 p.m. Eastern",10/25/2011,Williams College,,https://www1.gotomeeting.com/register/195456697,"Williams College (MA) will share its experience with its demand response program during this Lucid Design Group webinar. This webinar will explore how demand response can achieve economic and sustainability goals at institutions, and how technology and automation can drive more revenue.",Events
GreenerU 2011 Eco Rep Symposium,2011-10-21,"Nov. 5, 2011",11/1/2011 10/25/2011,Babson College,,http://www.babson.edu/about-babson/sustainablity/Pages/EcoRep-Symposium-2011.aspx,"For students and staff interested in campus sustainability leadership and the Eco Rep model, GreenerU's 2011 Eco Rep Symposium will serve as a collaborative space to share and learn about successful student engagement programs for sustainability. Hosted by Babson College, topics will include the best ways to engage students on campus, effective dorm activities, training and funding Eco Reps, strategies for fostering sustainable behavior and effective messaging.",Events
